nilai_sisdig,nilai_daspro,nilai_alpro,nilai_matdis,nilai_arkom,nilai_basdat,nilai_metnum,nilai_strukdat,nilai_sbd,nilai_so,nilai_jarkom,nilai_ki,nilai_rpl,nilai_si,nilai_pb,status_kelulusan
"E","B","C+","C+","C","B-","C","B+","B+","E","C+","C","E","B","E","TERLAMBAT"
"C+","B-","B-","B-","C","B-","C","D","B","C","C","C","C+","C+","C","TERLAMBAT"
"C","D","B-","B+","C","B-","C","A-","B","B","D","E","C","B","E","TERLAMBAT"
"C","B-","C","C","C+","C+","B-","B-","B","A-","C+","B-","D","D","C","TERLAMBAT"
"A","C+","B-","C+","B+","C","B-","D","B+","B","C","A","C+","B","A","TERLAMBAT"
"A","A-","B+","A-","B+","B-","B+","B-","B+","B+","C+","C","C","A-","A-","TERLAMBAT"
"C+","A","B+","B-","A-","C+","B+","B","B+","B+","B-","B-","D","A-","B-","TERLAMBAT"
"A-","C+","A-","B","B+","B","A-","B+","A-","B+","B+","B+","B+","C+","A-","TERLAMBAT"
"B-","B-","B","B-","B+","B-","B","C+","B+","B+","C+","B-","C","B+","A","TERLAMBAT"
"B+","C+","B","E","B","C","C","C+","A","B+","C+","B+","C","C","B","TERLAMBAT"
"E","C","C+","C","C+","C+","C","B+","B+","C","B-","B","C+","B","B-","TERLAMBAT"
"D","D","B-","D","B+","C+","B-","B+","A","C+","C+","B","A-","A-","B-","TERLAMBAT"
"D","B-","D","B","C+","E","D","B-","C","E","C","B+","D","E","B","TERLAMBAT"
"A-","D","B+","B+","B+","B-","C+","C+","A","B+","B","B-","B+","A-","B-","TERLAMBAT"
"A","B+","B","E","D","C+","B-","E","B","B-","C+","B","D","C","B-","TERLAMBAT"
"B","B","B+","B","B-","B-","B","B","A","B","B+","B","C+","B","B-","TERLAMBAT"
"D","A-","C","B","C+","C+","B-","B+","B","D","B-","B-","D","D","A-","TERLAMBAT"
"B","A","B+","C+","B+","C+","B-","B+","A","B","B","B","B+","B","B-","TERLAMBAT"
"A","A","B","B","B+","C","B+","A-","B+","A-","B+","B+","B","C","A","TERLAMBAT"
"A-","B+","C","E","D","B-","C","B","B+","B-","B-","B","D","B-","A-","TERLAMBAT"
"C+","B","C","C+","B","C","B","C","B","B","C","B-","C","B","B+","TERLAMBAT"
"B+","B-","C+","C","B+","C+","B+","B","B+","B+","C","B","B+","A-","B-","TERLAMBAT"
"A-","B+","B","C+","A","C","C+","B","B-","C","C","B-","C","C","A","TERLAMBAT"
"A","D","B","A","B+","B-","B","B","A","A-","A","B-","A","B","B-","TERLAMBAT"
"C","C+","B-","C+","D","B-","B","C","B+","D","B+","B","B-","B","C+","TERLAMBAT"
"C","C+","B","B","B+","B-","B","E","B+","C+","C+","B-","C","B-","B","TERLAMBAT"
"D","B+","C","B-","B-","E","B+","B","B+","B+","B-","B","D","B","B","TERLAMBAT"
"D","B-","B-","B","A","B-","B-","C","A-","B-","C+","B-","D","B","B-","TERLAMBAT"
"D","C+","B-","A-","A-","E","B-","C+","B","B-","B-","B","E","B-","B","TERLAMBAT"
"D","B-","C","B+","B+","D","C","D","C+","C+","C","B-","D","C","B+","TERLAMBAT"
"A","B-","B","C+","C","B-","A-","A-","A-","C+","B-","B","B","C+","C+","TERLAMBAT"
"B-","B+","B-","C+","A","C+","B-","B","B+","B-","C+","B-","A-","C+","B-","TERLAMBAT"
"D","B-","C+","B","B-","E","E","D","C","C+","D","B","D","B-","A-","TERLAMBAT"
"C+","B+","C","B","B+","C+","B-","C","B+","C+","C+","B","C","B","B+","TERLAMBAT"
"C","B+","A-","A-","A-","B+","B+","C","B+","B-","C+","A-","C+","A-","B-","TERLAMBAT"
"B-","A-","C","C","B-","D","C+","C","B+","B-","C","B","C","B","B","TERLAMBAT"
"D","C+","C","C+","B+","E","C+","E","C","E","B-","B","E","C","A-","TERLAMBAT"
"B","B","C","B","A","C","C","C+","C+","B-","B-","B","D","B+","A-","TERLAMBAT"
"D","C+","C","B-","B-","E","B","C","C","B+","B-","B+","D","B-","B","TERLAMBAT"
"A","B-","B","B+","B","B","A","C+","B+","B+","C+","B","B+","B+","A-","TERLAMBAT"
"B","A","C+","B-","B","C","C+","C","C+","C","C","A","D","B+","B-","TERLAMBAT"
"D","B-","C","B-","B+","C+","C+","B-","A-","B","B-","A-","C","B-","A","TERLAMBAT"
"E","B","C+","E","C","D","B","C","C+","C","B-","B+","B-","B","B-","TERLAMBAT"
"C+","B-","C+","C","C","D","C+","B","B+","B","B","B","D","B-","A","TERLAMBAT"
"C","D","B+","C","A","B-","A-","C+","A-","C","C","D","B","B","C","TERLAMBAT"
"B+","C+","A-","C+","B","B-","B-","C+","A","B","C+","A-","B+","B","A-","TERLAMBAT"
"A-","B","A-","B","B","C+","B-","C+","B+","B","B-","B+","B-","B","B-","TERLAMBAT"
"C","A-","B+","D","D","B","A","B-","B","D","C+","B","A-","A-","A","TERLAMBAT"
"D","C","C+","B","B+","D","C","E","A-","C","C+","B-","D","C+","B-","TERLAMBAT"
"A","B-","A-","A","B+","B-","B+","B+","A","B","B","C+","B","B+","B+","TERLAMBAT"
"B-","D","A-","B","A-","B","A","B+","A-","B-","A","B-","A","A-","B-","TERLAMBAT"
"C","B","B","C","B","B-","B-","B-","B","B-","C+","B-","B","A-","B","TERLAMBAT"
"D","C+","C+","B-","B+","C","B","B+","B-","D","C","A-","D","B-","B","TERLAMBAT"
"C+","B+","B-","B+","A-","B","B","B","A-","B-","B-","D","B+","B+","E","TERLAMBAT"
"C+","D","B+","B-","B+","B-","B+","B","B+","C+","B","C+","A-","B-","C","TERLAMBAT"
"D","B-","B","C","B+","B","B","B","B+","C+","B-","B+","B-","B","B-","TERLAMBAT"
"C+","D","B","B-","C+","B+","B-","B","B","B-","B-","B-","D","B+","B","TERLAMBAT"
"D","C+","C+","B-","B","C+","C","B-","B","D","B","B","D","B","C","TERLAMBAT"
"D","B+","B-","B-","B-","B-","B+","C+","B+","C","D","B","C+","B","B-","TERLAMBAT"
"D","C","B","B-","B-","C+","C","C+","B","C+","D","B","C","B","C+","TERLAMBAT"
"C+","C+","B","B+","B","A-","B+","B","B+","B","A-","A-","B","B+","D","TERLAMBAT"
"C","C","C","B-","D","C","D","D","C+","B-","D","A-","C+","B","C+","TERLAMBAT"
"B-","B-","B","A","B+","B+","B+","B","B","C+","B+","D","B+","B","C+","TERLAMBAT"
"C+","B-","C+","B","C","B+","B","C+","B+","C","B-","B","C","B","B-","TERLAMBAT"
"C+","D","A-","A-","A","A","A-","A-","B+","B","A","B-","A","B+","B-","TERLAMBAT"
"A-","B","A","B-","B+","B","C","A","A-","B+","B","B+","B-","B","C+","TERLAMBAT"
"B","A","B","C+","B-","B","B-","B+","A-","B-","B-","C+","B","B","B-","TERLAMBAT"
"A-","B+","B","C+","E","B-","B","A-","B","D","D","A-","B","B+","B-","TERLAMBAT"
"B-","B-","B","B","B+","A-","C+","B","B+","B-","A-","B","B+","A-","A-","TERLAMBAT"
"C+","B","B-","B-","C+","B-","C","B","B-","D","C","B","B-","B-","B","TERLAMBAT"
"E","C+","B-","C","C","B","C","A","A-","D","C+","B-","B","B","B","TERLAMBAT"
"E","B+","B-","B-","B-","C","C+","B-","B+","C+","D","D","B-","B+","C","TERLAMBAT"
"B+","C+","B","B-","B","B","B+","A-","B","B-","B-","A-","B+","B+","C+","TERLAMBAT"
"C","C+","B","B-","B","B-","C+","B+","A-","C+","B+","C+","B-","B","B+","TERLAMBAT"
"C+","A-","B-","B","A-","A-","B-","B","B+","B","A","B","B","B+","C","TERLAMBAT"
"D","B-","C+","B+","B+","C","C+","C+","B+","C","D","B","B","B+","B","TERLAMBAT"
"C","B","C+","B-","C","A-","C+","C+","C+","C","D","B","D","B+","C+","TERLAMBAT"
"C","B+","B-","A-","B+","B+","E","B","B","D","B","B-","C+","B","B-","TERLAMBAT"
"D","B+","B-","C+","B","B+","C+","C","B+","C","C","B","C+","B","C+","TERLAMBAT"
"B-","B","B","B","C","B-","C+","A-","B+","C","B-","C","B","B","B-","TERLAMBAT"
"A-","A","B","B-","C","B+","C+","B+","A-","C","B-","C+","B","C+","C","TERLAMBAT"
"A-","E","B","B","B-","B-","B-","A","A-","B-","C","B","B","B","C","TERLAMBAT"
"C+","D","B-","C+","B","B+","C","B-","B+","C+","A","C+","B","B","A","TERLAMBAT"
"C+","B+","B","B","A-","A-","B","B","B","C+","B+","D","B-","B+","C+","TERLAMBAT"
"D","B-","C","C+","B-","B-","B-","B-","B","C","C","A-","C+","B","B+","TERLAMBAT"
"C+","A","B","A-","A","A-","B-","B+","A-","C","A","B","C+","B+","B","TERLAMBAT"
"C+","A-","B-","B-","B-","B+","B-","B","B","C","B-","A-","C+","B-","A","TERLAMBAT"
"C","B-","B+","B","A-","C","B+","C+","B+","B","A","B","A-","B","A-","TERLAMBAT"
"A-","B","B+","A-","A-","B+","B+","A","B","C","A","B-","B-","B","B+","TERLAMBAT"
"D","A","B","B-","B+","C","C+","B-","B+","C","C","A-","B+","B","C+","TERLAMBAT"
"D","B","B","B-","B-","B-","D","B","B","D","D","B","B","B-","B-","TERLAMBAT"
"C","B","B","C+","B","B+","C","B-","A-","B-","B-","B-","C","B+","A-","TERLAMBAT"
"D","B+","B","B","A","B-","C","B-","B","B-","C+","A-","C","B","A-","TERLAMBAT"
"D","B+","B+","B","B+","C","B","C+","B","B-","A","B-","B","B+","B-","TERLAMBAT"
"A","B","B+","C+","B","B+","B+","A-","B-","D","C","B+","B-","B-","A-","TERLAMBAT"
"B-","B","B","D","B-","B+","C","B","B-","C","B-","C","B+","B-","C+","TERLAMBAT"
"E","B+","B+","B-","C","B+","C","B+","B-","C+","B-","B","B-","B+","B-","TERLAMBAT"
"C+","D","B-","B","C","B-","C+","C+","B","D","B","B","C","B+","C","TERLAMBAT"
"C","C","C+","B","B-","B-","C","D","B-","B-","C","B","D","C+","B","TERLAMBAT"
"B-","C+","B","B","B+","B","B-","B+","B-","A","B+","B","B","B+","B","TERLAMBAT"
"E","B","D","D","E","B","C+","B","C","D","B-","C","B+","B-","B","TERLAMBAT"
"E","B-","C","B","B-","B","C+","B+","B","C+","B","A","B-","B","C+","TERLAMBAT"
"E","B+","B","C","B","B-","B","B","B+","B","B-","B","D","B","B","TERLAMBAT"
"E","C","D","C+","E","B","B","B","B-","D","C+","B+","B+","B-","B","TERLAMBAT"
"B-","B-","B-","B-","B-","C+","C+","B","B+","C","B","A-","C","B-","B","TERLAMBAT"
"E","C","B-","D","B","B+","C","B-","C","B+","B","B-","B-","B-","B+","TERLAMBAT"
"C+","C","B-","B-","C","B-","D","A-","B-","D","D","B","B-","C+","B","TERLAMBAT"
"E","D","D","D","B-","B","C+","A-","C","B-","E","B-","B","B","C+","TERLAMBAT"
"E","B","C","B","B-","B+","B-","B+","C","B-","E","C","B","C+","C+","TERLAMBAT"
"E","A-","D","D","B-","B","C+","B+","C","C+","B+","B","B","C+","B-","TERLAMBAT"
"E","C","B-","C+","C","C+","B-","B+","C+","D","C+","B","B-","B-","B+","TERLAMBAT"
"E","B-","C+","E","C","D","C+","C+","D","D","E","B-","C+","B+","A","TERLAMBAT"
"D","B-","C+","B","E","D","C","B-","B","C","C","A-","D","C+","B+","TERLAMBAT"
"D","B","B-","B-","B-","B","C+","B-","C+","B","C","B-","B-","B-","A-","TERLAMBAT"
"B-","C+","B","D","C","B","C","A-","A","C","A","B-","B+","A-","A-","TERLAMBAT"
"E","B-","B","B-","A-","B","C+","A-","B-","A","C+","A-","B+","B-","B+","TERLAMBAT"
"C+","B-","B","C+","C+","B+","C+","A-","A-","B+","B","A-","B+","C+","B+","TERLAMBAT"
"E","B","D","D","B","B","B-","B-","C","B-","D","A-","B-","B","B+","TERLAMBAT"
"D","B+","B-","D","A-","B","B-","B-","B","E","D","A-","B-","C","B+","TERLAMBAT"
"B+","B","B","C+","A","A-","B","B+","B","B-","B-","C+","B-","A-","A-","TERLAMBAT"
"D","C","D","D","D","B","B-","B-","C","B-","D","B-","B-","B","B","TERLAMBAT"
"E","C+","C","D","C+","B","C+","C+","C+","C","B-","A-","B+","A-","B+","TERLAMBAT"
"E","C+","B","D","B-","B+","B","B-","C+","B-","C+","A-","B+","B","B-","TERLAMBAT"
"B","B-","B","C+","B-","B","B-","A-","C+","D","C","C+","B","C+","C+","TERLAMBAT"
"D","B-","C+","D","E","B","D","B","C+","D","D","C+","B","B-","B-","TERLAMBAT"
"D","A","A-","B","B","B","C+","A-","B","B+","C","C+","B-","B","C+","TERLAMBAT"
"E","A-","B","D","C+","B+","B","B","C+","B-","C+","B","B+","B-","C+","TERLAMBAT"
"E","B+","C+","D","C+","B+","C+","B-","C+","D","D","B-","B+","C","B","TERLAMBAT"
"B-","B","A-","C+","B+","B","A-","B","B","B","A","C+","A-","B","B","TERLAMBAT"
"C","B+","C+","B","D","D","C","C+","B","D","E","B","D","B+","B-","TERLAMBAT"
"C","B-","B","C+","B","B","A","C+","B","A-","A-","C+","B+","A-","A-","TERLAMBAT"
"D","A-","B","B+","B+","B","B+","A","B","C","B+","C","B","B+","B-","TERLAMBAT"
"E","A-","B+","B-","B+","B","B+","B","B+","B","A","C+","B","B+","B-","TERLAMBAT"
"B+","B+","A","A","A-","A-","A","A","B+","B","A","C+","B","B+","B-","TERLAMBAT"
"B-","B+","B+","B+","A-","B+","B+","A-","B","B","B","C+","B","B","C+","TERLAMBAT"
"A-","A","B+","B","B","A-","B","C+","C+","E","D","C","A","B-","B-","TERLAMBAT"
"B+","B","B+","B-","B-","B-","B+","B+","B","D","B-","B-","B+","B","B-","TERLAMBAT"
"B-","A-","B","B","B+","B+","B+","A","B","C+","B","C","B-","B+","B-","TERLAMBAT"
"B-","B+","A-","A","A-","A-","A","A-","A-","B+","A","B-","A","A-","B-","TERLAMBAT"
"C+","A-","B+","B+","B-","B-","B","B","B+","B-","A-","C","A-","B","B+","TERLAMBAT"
"C","B+","B","A-","B","B+","B-","C","B","D","C+","C","B","B","A-","TERLAMBAT"
"C+","B+","B+","C+","B","B+","C+","A-","C+","A-","C","C+","B+","B","B-","TERLAMBAT"
"B-","A-","A-","B","C","B+","A-","A-","C+","D","C+","C","B+","B-","C+","TERLAMBAT"
"E","B","B-","C","C+","B+","B-","B","B-","B-","C+","C+","B+","B","B-","TERLAMBAT"
"B-","B+","B+","B-","B-","B-","C+","B+","B","D","C+","A-","B","B","A-","TERLAMBAT"
"D","B+","C+","C+","A-","D","B","D","B","D","B-","B","C","B","C+","TERLAMBAT"
"E","A-","B+","B+","C+","C+","B","C+","B-","C+","C+","B","C+","B+","B-","SEDANG"
"E","B+","A-","A-","D","C+","A-","B-","B-","D","C+","C+","C","C+","B-","TERLAMBAT"
"B-","B+","A-","C","B-","C+","C","C+","C+","C","B","B+","B+","B","B-","SEDANG"
"E","B","B+","A-","C","C+","B","B-","B-","C","B-","B+","B","C+","B-","SEDANG"
"E","A-","B+","B+","C+","C+","C+","C+","A","B","B+","B-","A-","B","B-","SEDANG"
"B","B+","B+","B","D","C+","B+","C","C","C+","C+","B-","C","C+","B","TERLAMBAT"
"B","B-","B+","B+","C+","B-","B","B","B-","D","B+","B","A-","B","B","SEDANG"
"E","A","B","B+","C","C+","B","C","B-","B-","B-","B-","C+","B+","C+","SEDANG"
"C+","B","B","B+","D","C+","C","C","B-","D","B-","C","C","B","B","TERLAMBAT"
"E","B+","B+","B","D","C+","C+","E","C+","D","C","B","C","C+","A","TERLAMBAT"
"B-","B+","B+","B-","B","C+","A-","B","B","B-","B-","C+","B+","B","B","TERLAMBAT"
"A","A-","B+","C+","A-","B-","B-","B+","B-","B-","B-","B-","A","C+","C+","TERLAMBAT"
"C","B","B+","C","C","C+","E","B","B-","C","C+","C+","B","B-","B-","TERLAMBAT"
"B","A","B","B-","E","C+","B","B-","B-","B-","E","A-","C+","B","B-","TERLAMBAT"
"B","B","B+","B-","B+","B-","B-","B","B-","B","C+","A-","A-","C+","E","TERLAMBAT"
"B-","B+","B+","C","B","B","B-","B+","C+","C","B-","B","B","C","B","TERLAMBAT"
"E","B","B+","B","C","B-","C","B","B-","C","A-","B-","C+","C+","B","TERLAMBAT"
"B","A-","B+","B","A-","A-","B","B+","B+","B-","B","C+","B-","B","B","TERLAMBAT"
"A-","B","B","B-","A","B+","B-","A-","B-","B","A","B-","B+","A-","B+","TERLAMBAT"
"C","C+","B+","B-","C+","B-","C+","B-","B+","C","E","B+","C","B","B-","TERLAMBAT"
"B-","C+","A-","B+","A","B+","A-","B-","C+","C","C+","A-","A-","A-","B","TERLAMBAT"
"C+","B","C+","E","B+","C+","E","B-","C","D","D","C","B+","B","C+","TERLAMBAT"
"D","A","C","B+","A-","D","B","B","B-","E","D","B+","D","B+","E","TERLAMBAT"
"E","A","B-","B","E","D","C+","E","B-","A-","C","B","C","B","B-","TERLAMBAT"
"C","C+","B-","B","A-","B","C+","C","C+","D","C","A","C","B","B-","TERLAMBAT"
"E","B-","C+","C","B+","B-","C","C+","B-","E","C","C","C","B","A","TERLAMBAT"
"B-","C+","B","B","A","B-","C","C","C+","D","C+","A-","D","B","B","TERLAMBAT"
"B","B-","B+","B+","A","A","A-","B-","B+","C+","C","A","B+","B+","B+","TERLAMBAT"
"A-","C+","B+","B-","A-","B","B-","B-","B+","B-","C+","B","B","A-","B+","TERLAMBAT"
"C","B-","B-","C","B+","C+","C+","C+","B-","C+","B","E","B","A-","B","TERLAMBAT"
"E","B+","B-","B","A","B+","E","C+","B-","B+","B-","A-","C+","A-","B+","TERLAMBAT"
"D","C+","B-","B","A-","C","B-","C+","B-","B-","C","B-","D","B+","A","TERLAMBAT"
"C","B-","B-","B+","A-","C","C+","C","C+","A-","C","A-","D","B+","B+","TERLAMBAT"
"B-","B","C+","B","B","C+","B-","C","C+","C","B-","A","C","B","B+","TERLAMBAT"
"C","B+","B-","C","A-","B","D","C+","C+","D","C+","A-","C","B+","A","TERLAMBAT"
"D","A-","B-","C","A-","B+","B-","C+","B-","D","C+","A","C+","A-","A","TERLAMBAT"
"C+","A-","C+","C","A","C+","B-","C","B-","E","C+","B","B","B+","A","TERLAMBAT"
"C","B","B","B-","A-","B-","B","C+","B-","C+","C+","B+","B-","A-","A-","TERLAMBAT"
"C+","B","B+","C+","A","B","B-","C","C+","C","C+","A","C+","B+","B+","TERLAMBAT"
"B-","B-","B+","B+","A","C+","C+","C+","B-","A","C+","B+","B+","A-","A-","TERLAMBAT"
"B","B-","B-","B","A-","B","B-","C+","B-","B-","C+","B","B+","A-","B","TERLAMBAT"
"B-","B","A","C+","B-","C+","B+","C","B-","D","B-","B-","C+","B+","B+","TERLAMBAT"
"B","A-","B","C","B+","C+","B+","E","B-","C+","B-","B+","B+","B","A","TERLAMBAT"
"B","B+","C","C+","B-","C+","C+","C","B-","E","C","A-","C+","B+","A-","TERLAMBAT"
"B-","B","A-","C","B-","B-","B+","C","B+","A-","B","B-","B-","B+","A","TERLAMBAT"
"E","A-","C+","C","B","C+","B+","C","B-","E","B-","B+","B-","A-","B+","TERLAMBAT"
"C","B+","B+","B+","B","B","B","C","B+","B+","B-","B-","A-","B+","B","SEDANG"
"B","B","A-","B","C+","C+","E","B-","C+","B-","B-","A-","B-","B+","B+","TERLAMBAT"
"C+","C+","B-","B","B-","C+","B+","C","A","B-","B","B+","A-","B+","A","SEDANG"
"B","C+","B-","C","B","B-","B","C+","C+","E","B-","B-","B+","A-","B+","TERLAMBAT"
"C+","C","A-","B-","B","C+","B+","B-","B-","B+","C+","B-","B-","A-","B+","TERLAMBAT"
"B-","B","B","B-","C+","C+","B-","C","B+","B-","C+","A-","A-","B+","A-","TERLAMBAT"
"C+","C+","A","B","C+","C+","A","B-","B-","C","B-","C","B+","A-","A","TERLAMBAT"
"C+","D","C","C+","C","C+","B","C","B-","D","B-","B+","B+","B+","A","TERLAMBAT"
"B","D","B+","B","B-","C","B","C","B+","B-","B-","A-","B","B+","A-","TERLAMBAT"
"B","C","C+","B","C+","B-","A","C+","B-","B","B-","B","A-","A-","B+","SEDANG"
"C+","B-","C+","C","B","C+","A-","C","B+","B-","C+","B","B","B+","A-","TERLAMBAT"
"B-","B","B-","D","B+","C+","B-","B-","B-","C","B-","C+","B-","B","A","TERLAMBAT"
"C","C+","B","C","B","C+","B+","C","B-","D","C+","B-","B","B","A","SEDANG"
"D","B+","C+","B","B-","C+","B","C","B+","B","B-","B-","A","B+","A","SEDANG"
"C+","B","C+","D","C+","C+","D","C","C+","E","E","A","B-","B+","B+","TERLAMBAT"
"C","B+","A","C+","C","C+","A-","B-","B+","B","B-","A-","B+","A-","A-","SEDANG"
"B","C","B","C","B+","C+","B+","B-","C+","E","B-","C+","B+","B+","A","TERLAMBAT"
"B-","C+","C+","D","B-","C+","B-","C+","B-","A-","B-","B","B+","A-","A","TERLAMBAT"
"B+","B-","B+","B","B-","B","B+","C","C+","B-","B","B+","B","B","A","SEDANG"
"C+","E","B-","A-","B-","C","B+","C","B-","C","C+","B-","B-","B+","A-","SEDANG"
"C+","C+","C+","B-","C","C+","C+","C","C+","E","C","B-","C","B+","A-","TERLAMBAT"
"B+","B","B+","A-","D","C+","C","C","C+","D","C+","B-","C+","D","A-","TERLAMBAT"
"E","B-","B","B+","D","C+","B","B-","C+","D","C","C","B-","B","A","TERLAMBAT"
"E","B-","B","B-","C","B-","B","B-","B-","B","B-","B-","B-","A-","A-","SEDANG"
"B+","B+","B","B+","D","C+","C","C+","B+","D","C+","B-","B+","B-","A-","TERLAMBAT"
"A","D","B+","B+","A","C+","A","A-","B-","A","B+","B","A","A","A-","SEDANG"
"A","C+","B+","B","D","C+","C","E","B-","C","B-","B+","C+","D","A","TERLAMBAT"
"C+","D","B+","B","A-","B-","B","B-","B-","B-","B","B","B-","A-","A-","TERLAMBAT"
"B-","B-","B","B-","C+","C+","B+","B","B-","B-","D","C+","B","B","A-","TERLAMBAT"
"C","C+","B+","B-","E","B-","B","A-","C+","C+","C","A-","C","D","A","TERLAMBAT"
"C","B","A-","C","E","C","C+","A-","B-","A-","E","B","B","A-","A-","TERLAMBAT"
"E","C","B+","A-","A-","B-","A-","B","B-","B","E","B-","A","A","E","SEDANG"
"B-","E","C","B","C+","C+","C","A","B","B","C","B","A","D","A-","TERLAMBAT"
"B","C","B+","B-","A-","B-","B","B-","B-","C+","B-","B","B","C+","A","TERLAMBAT"
"C","C","B+","B-","B+","B-","C","B","B+","B","B+","B","B","B+","A-","TERLAMBAT"
"B-","B","C+","D","C","C","C","C+","B+","B-","C+","B","C","D","A-","TERLAMBAT"
"A-","B-","B","B-","B","A-","B+","B+","B+","A-","A","D","A","A-","A-","TERLAMBAT"
"B","A","B+","B-","B+","A-","B-","B","A","B-","A-","B+","A","A-","B+","TERLAMBAT"
"B-","D","C+","B","C+","B","A-","B","B+","B+","B+","B+","A-","C+","B","TERLAMBAT"
"A","A","B","B","B-","B-","B","B","B-","B+","B+","A-","B+","B+","A","TERLAMBAT"
"B+","C+","C","B-","C+","B","B","B","B+","B-","D","C+","B-","C+","A-","TERLAMBAT"
"E","C","D","B","C+","C","C","B-","B","C+","D","B+","D","B","A","TERLAMBAT"
"E","D","B","B-","C+","C+","E","B-","B+","B+","C","B-","C","B-","A-","TERLAMBAT"
"E","C","C","C+","C+","C+","B-","C+","B+","A-","C+","A-","B-","C","A-","TERLAMBAT"
"B+","D","B+","B+","B-","B+","B","A","A-","A-","B","C","A","B+","A-","TERLAMBAT"
"E","C","C","D","B-","B-","B","A-","A-","B-","B","A-","A-","B-","A","TERLAMBAT"
"C","C+","C","B","C+","C","E","B-","B","B-","B","B-","B","C+","A","TERLAMBAT"
"C","E","B-","B","C+","B","C","B+","B+","B-","C+","C","D","D","A","TERLAMBAT"
"C","C","D","D","C+","B","B-","B","B+","B+","B","B","B-","C","A-","TERLAMBAT"
"E","C+","D","C+","C+","C","D","C+","B+","B","C","B","C+","C+","A","TERLAMBAT"
"C+","D","D","B","B-","C+","B","A-","B","B+","C+","B","D","B+","A","TERLAMBAT"
"E","C","B+","B-","C","B-","C","C+","B+","D","B+","B","B+","C","A","TERLAMBAT"
"E","C+","B","B","C","B-","D","C","C+","D","B-","A-","C","D","A","TERLAMBAT"
"B-","C+","A","B-","B-","C+","E","B-","C","B","A-","B+","B","B+","A-","TERLAMBAT"
"A","C","B+","B","B","C","E","C","E","B-","B+","B","C+","B-","A-","TERLAMBAT"
"D","B-","B-","B-","C","B-","C+","B-","B+","D","C+","B","B-","D","B+","TERLAMBAT"
"E","B","C","C","B+","D","D","C","C+","C","C","B","C+","B-","B+","TERLAMBAT"
"C","B","C+","B","C+","C+","D","C+","B-","D","C+","B+","C","D","A-","TERLAMBAT"
"D","B+","B+","C+","D","D","B-","D","C","C+","B","B+","D","B-","B+","TERLAMBAT"
"B-","C","B+","C","B-","C","C","C+","D","B","A","A-","D","B+","A","SEDANG"
"D","B-","B+","B","E","D","D","C","E","C+","B+","A-","D","B","B-","TERLAMBAT"
"A","C+","A-","B","A","B+","C+","D","C","B","A-","B-","B","B-","A","TERLAMBAT"
"B","C","A","C+","D","D","C","B-","C","D","B","B-","D","B-","A-","TERLAMBAT"
"C","D","A-","C","C","C+","E","C","D","C+","A-","B+","C","B","A-","TERLAMBAT"
"C+","A-","B+","C+","B-","B-","E","C+","B-","D","C","A-","E","B-","A-","TERLAMBAT"
"C","A","B+","B","C+","A-","C+","B-","A-","C+","B+","C+","A-","C+","A-","TERLAMBAT"
"A-","C+","C","B-","A-","D","E","D","E","C","A-","A-","E","B+","E","TERLAMBAT"
"D","B+","B+","A-","C+","B-","C","C+","C","D","B-","B-","C+","D","A-","TERLAMBAT"
"C","B-","B-","B+","C","A-","C","B","B-","D","B-","B-","A-","C","A","TERLAMBAT"
"B-","B","B+","B+","D","C+","D","C+","E","B+","A","B-","C","B+","A","TERLAMBAT"
"D","B","B+","B-","E","B+","D","B-","D","A-","A","C+","C+","B-","A","SEDANG"
"C","B+","C","C","C+","D","E","D","E","C+","A-","C+","C","C+","A","TERLAMBAT"
"B-","B-","B","C+","C+","B-","C+","D","C+","B-","A-","B","C","A","A","TERLAMBAT"
"C","C+","B+","B+","C+","B","C+","C","C+","C+","B","B","B+","B","A","SEDANG"
