nilai_sisdig,nilai_daspro,nilai_alpro,nilai_matdis,nilai_arkom,nilai_basdat,nilai_metnum,nilai_strukdat,nilai_sbd,nilai_so,nilai_jarkom,nilai_ki,nilai_rpl,nilai_si,nilai_pb,status_kelulusan
"D","C","B-","B-","C","B-","E","C","C+","D","C","B-","C","C","A-","TERLAMBAT"
"E","C+","B+","A-","C","B","C","C+","B+","D","B-","B","B-","B-","B+","TERLAMBAT"
"A-","B","B+","B","D","C","C","C","C","B+","A","B-","B-","B-","B+","TERLAMBAT"
"D","B-","C","A-","C","B-","C","C+","B-","D","E","A","C+","D","A-","TERLAMBAT"
"E","C","C+","B","B","C","C","B-","B","B-","C","B-","C","B-","A-","TERLAMBAT"
"E","B+","B-","B-","B-","B-","E","B-","B+","D","E","B-","A-","C","A-","TERLAMBAT"
"E","B+","B+","B","C","C","C","C","C+","D","B-","B-","E","D","A-","TERLAMBAT"
"C","A-","C+","C+","C+","B+","C","B+","B+","B-","E","C+","B-","B-","B","TERLAMBAT"
"E","A","B","B-","B-","B","B","B-","B","D","B-","B","B","B","B","TERLAMBAT"
"D","B","D","B-","C","B-","E","B+","B","C","C","B-","C+","B-","B","TERLAMBAT"
"C","A-","C","B","C+","C+","C+","C+","B+","C+","D","C","B-","B","B+","TERLAMBAT"
"C+","A-","B","B-","A","B-","C+","C","C+","B-","A","B","C+","B-","C+","TERLAMBAT"
"C","B-","B","B+","C+","C+","A-","B","A-","C","C","C+","A-","B-","B","TERLAMBAT"
"A-","B-","A","B-","B+","A","C+","A","A","B+","A","B+","A-","A","C+","SEDANG"
"A","B","B-","B+","B+","B+","C","D","C","B-","B","B","B+","A","C+","TERLAMBAT"
"E","B-","C","B","B","C","C","D","B-","B-","C","B+","C","C","B","TERLAMBAT"
"D","B","C","B","B","C+","D","C","C+","C+","E","A-","C+","C","C+","TERLAMBAT"
"D","B-","B+","A","C","C","B-","C","E","B+","B","A-","D","B-","E","TERLAMBAT"
"C","B-","C+","B-","B-","C+","C+","B","B+","B+","D","C+","C+","B+","B-","TERLAMBAT"
"D","B-","B-","C","B-","B+","E","B-","A-","D","B-","B","B+","B-","B-","TERLAMBAT"
"C+","C","B","C","A-","C","E","E","E","C","B","B+","D","B-","B","TERLAMBAT"
"D","B-","B+","C","C+","B-","C","C+","C","D","D","C","C","D","B-","TERLAMBAT"
"C+","B","B+","B+","C+","B+","D","C","C","D","E","B-","D","B","C+","TERLAMBAT"
"D","C+","B","C+","B-","B","E","D","E","B","B+","A","C","B+","C","TERLAMBAT"
"E","C","B","B+","C+","B","D","B-","C+","C","B-","A","C+","C","B-","SEDANG"
"E","B+","C+","B-","C","C+","C+","C+","C+","D","E","B-","C+","D","B-","TERLAMBAT"
"B","B","B","C","B","D","E","E","B-","C+","B","B-","C","C+","C","TERLAMBAT"
"E","B-","C+","B","C","C+","B","B+","B","C+","A-","B+","C","C+","B+","TERLAMBAT"
"E","C+","D","C","B-","C","E","D","E","D","E","B+","D","B","A-","TERLAMBAT"
"B+","B-","C+","C","B+","C","C","C","E","B","A-","B+","C","B-","B+","TERLAMBAT"
"E","B","C","B+","C+","B-","B-","B-","B+","B-","C+","B","C","B","B-","TERLAMBAT"
"B","B-","B+","B-","C","C","D","A-","C","C+","B+","B+","C","B-","B","TERLAMBAT"
"C","B","A-","C","C+","B","E","C","B","B+","B-","B+","C+","C+","A","TERLAMBAT"
"D","A","C+","B+","C","A-","E","C","A-","D","B+","B+","B+","D","B","TERLAMBAT"
"D","B-","A-","B+","B-","D","D","D","C","E","B+","B+","C","B-","A-","TERLAMBAT"
"B-","B","B-","C","B-","C","E","D","C","D","B","A-","D","B-","A","TERLAMBAT"
"D","C","B+","B","C+","B","C+","C+","B+","D","B-","B-","B-","C+","B","TERLAMBAT"
"E","B+","B","C+","B-","C+","D","C","B-","D","B","B+","C+","C+","A","TERLAMBAT"
"B-","E","B-","A-","C","C","B","D","E","D","E","C","E","A-","C+","TERLAMBAT"
"A","A-","B+","C+","B+","C+","C+","C","B-","A","A-","B-","B-","B+","A","TERLAMBAT"
"D","C+","B+","E","D","C","E","C","A-","B-","B","B","D","B","A-","TERLAMBAT"
"A","C+","A-","A-","A-","A","B","B-","A-","A","A","B-","C+","A","A","TERLAMBAT"
"C","B-","B+","B+","E","C","C","C","D","C+","B+","B","D","B+","A-","TERLAMBAT"
"D","C+","B+","C+","D","D","D","C","A-","B","B+","B+","C","A","A-","TERLAMBAT"
"D","C+","B","C+","E","D","D","C+","A","B+","A","B-","C+","B-","B+","TERLAMBAT"
"B","C+","C+","B","B+","C+","C","D","C","C+","B+","B+","C","B-","A-","TERLAMBAT"
"C+","B+","B+","B-","A","B-","B","B","B-","B+","C","C+","A","A-","A-","TERLAMBAT"
"B","D","B+","B+","D","B+","C","C+","B-","B","A","B","A","B","B+","TERLAMBAT"
"C","B-","B+","B","C","B-","D","B","B-","C","B-","B","C+","C+","A","TERLAMBAT"
"B-","A","B+","B-","B-","B-","B-","B","B-","C","B-","B-","B+","A-","A","TERLAMBAT"
"B-","B","B","B-","B+","B-","B","B","B-","B+","D","A-","A","C+","A","TERLAMBAT"
"B-","A-","B+","B-","B+","B+","A-","C+","B+","B-","B-","B","A","B+","A-","TERLAMBAT"
"B","A-","B","B-","C+","B","C","B-","B-","C+","B","A-","A-","B","A","TERLAMBAT"
"B","B-","B-","A-","A-","B+","A","B","B-","C+","C+","B","B+","A-","B","SEDANG"
"A-","A-","A-","B-","B+","C+","B+","C","C+","C+","C+","B+","B+","A-","A-","SEDANG"
"B-","A","B","A","A","A-","A","B","B-","A","B-","B+","A","A-","D","SEDANG"
"A-","B-","B-","B+","A","B+","A-","B","B+","B","B-","B+","B+","A-","D","TERLAMBAT"
"D","B+","B-","D","A","B","B-","C+","B-","D","C","B+","C","B+","A-","TERLAMBAT"
"B","B","B+","B-","A","B+","A-","B","B+","C+","B","B-","B","A-","C","SEDANG"
"C+","A","B","C","A-","C","B","C+","C+","C+","C+","B","B","B","C+","TERLAMBAT"
"D","C+","B","C","E","D","C+","C","D","C+","E","B+","C+","C+","B+","TERLAMBAT"
"E","A-","B+","B-","C+","C+","B-","B-","B-","C+","B-","B","B","C","B","SEDANG"
"B","C+","B+","B","D","C+","B+","C","B-","B-","B-","B","B","B+","C","TERLAMBAT"
"E","B+","B","B","C","B-","B-","B","B-","B-","C+","A-","C+","A","A-","TERLAMBAT"
"B+","B","A-","B","B-","B-","B","B","B+","C","B","A-","A","B","B","TERLAMBAT"
"B+","A","B+","B-","B-","B-","B","B-","B-","C","B-","A","B-","B","A-","TERLAMBAT"
"B-","A","B+","B-","B-","C+","B","C","A","B+","B+","A-","A","B","C+","TERLAMBAT"
"B","B+","B+","B","D","B-","B","B","B+","B","B-","A","B+","B+","B","SEDANG"
"B+","D","B+","B-","D","C+","C+","C","B-","D","C+","A","B","B-","B","TERLAMBAT"
"B+","C+","A-","B","C","B-","B","B-","B-","C","C+","B-","B-","B-","B-","TERLAMBAT"
"E","C+","B+","B+","C+","B-","B","B","B+","B","B-","B","A","B","B-","SEDANG"
"B-","A-","B+","B","C","B-","B","C+","B-","C+","B","B-","C+","A-","B+","SEDANG"
"E","B","B+","B","D","C+","B","B-","B-","B-","B-","A-","C+","B-","B","TERLAMBAT"
"A","B-","C+","A","B-","B-","B-","B-","B+","B","A-","A-","B+","B+","B","TERLAMBAT"
"A-","B-","C","A","B-","B-","A-","B+","A-","A","B","A-","A","B","B+","SEDANG"
"C","C+","C+","A-","B-","B+","C+","A","B+","B","A-","A-","A","C+","B","TERLAMBAT"
"A","B+","B+","B","C+","C+","B","B-","B-","C+","B","A-","B+","B+","B-","TERLAMBAT"
"A","B-","D","B+","B-","B+","B-","C","B+","B+","C","A-","B+","A-","B+","SEDANG"
"A","D","C+","B+","B-","A-","A-","B+","B+","A-","B","B-","A","A-","A","TERLAMBAT"
"C+","A","D","C+","C+","B+","B-","C+","B","B","C","B+","B-","C","B+","TERLAMBAT"
"B","D","B+","B+","B-","A-","B-","A","B+","A-","A-","B","A","B","B+","TERLAMBAT"
"C+","A-","D","B-","B-","B+","C","A-","A-","B","A","B","B+","B","B+","SEDANG"
"B","B-","C","A-","C+","B-","B-","C+","B+","B","E","B","A","B-","B-","TERLAMBAT"
"B+","B-","A-","B","C+","B","C+","C+","E","B+","A","C","B-","B","B","TERLAMBAT"
"C+","B","B","B","B-","C+","B+","C+","B-","D","C+","B-","C","B-","B-","TERLAMBAT"
"B+","B-","A-","B-","C","C","B","C","B-","A-","A","B","C+","B-","B+","SEDANG"
"D","B","C","B-","C","B","E","D","E","C+","A-","B","C","C+","B","TERLAMBAT"
"B+","A-","A-","B","A-","B-","B+","B","C+","A","A","A","B","A-","B","SEDANG"
"D","C","C","B+","B-","B","B","B-","B","B","C+","B+","B+","B+","B","SEDANG"
"A-","A-","B+","B","A-","C","C","C","D","C+","A-","B","C","B+","A-","TERLAMBAT"
"B-","B+","C","A-","C","C+","B-","B-","B","B-","C","A-","B-","B+","B-","TERLAMBAT"
"B","A-","A-","B-","B+","C","B-","C","E","C+","B+","A-","B-","B","B-","TERLAMBAT"
"C","B","C","A-","C+","B-","B","B-","B","B+","C+","B","A","A-","B","TERLAMBAT"
"C","E","B","B-","B","D","E","D","E","D","B-","B","D","C+","B+","TERLAMBAT"
"D","A","A-","B","A-","B+","B+","B-","B","A","A","B","B+","A-","B+","SEDANG"
"C","A","C","C","C","B","B","B-","A-","B","C","B+","C+","B+","B","TERLAMBAT"
"B+","B-","A-","B-","C","C","C","B-","E","B+","A","B+","C+","B","B-","TERLAMBAT"
"B+","A","B+","A-","A","B+","C+","C","C","C+","B","B-","B","A-","A","TERLAMBAT"
"B+","B+","B+","B+","A","B","B","C","C","B-","A","A-","B","A-","B","SEDANG"
"A-","C+","B+","B-","A-","B-","B","B","A-","B","B-","A","A-","B+","A","SEDANG"
"A-","A-","B+","B","A","B-","A","A","A","A","B","B","B+","A-","C","SEDANG"
"C","A","C","C+","C+","B-","C","C","C+","B","B-","B+","C","B","C","SEDANG"
"A","B-","B","B","A","B-","B","A-","A-","A-","B-","B+","B","B","A","TERLAMBAT"
"A","B+","A","B-","B-","B","A-","A","A","A-","B","B","B","B+","B+","TERLAMBAT"
"C+","A","B-","C","C+","B-","B+","B-","B","A","B-","A-","C+","B","B","TERLAMBAT"
"C","D","B-","C","A-","B","C+","C+","B+","A","B","B","B","B+","B-","TERLAMBAT"
"B-","A","B","C","B-","B-","C+","B-","B+","A-","B+","B","B-","B","B","TERLAMBAT"
"C","A","A-","C","B+","B","D","B","B","A-","B","B+","D","B-","B-","TERLAMBAT"
"E","A-","C","C","A","B","B","C+","B-","D","B","B+","B-","B+","B-","TERLAMBAT"
"C+","B+","B+","B","A-","B+","C+","A-","B+","A-","B+","B+","B+","B+","D","SEDANG"
"B","A-","B","B-","A-","C+","A-","B","A","A","A","B+","B+","B+","B-","TERLAMBAT"
"B-","A","A-","C+","A","C+","B+","B","A","A","A","B+","A-","A-","C","TERLAMBAT"
"A-","A-","A-","B","B+","A-","A","A-","B+","A-","C+","B+","B","B+","C","TERLAMBAT"
"A","B+","A","B","A-","C+","B-","A-","A","A","A","B-","A","B+","B+","SEDANG"
"A","D","A","B+","B-","C+","C","A","A","A","D","B-","B+","B","C+","TERLAMBAT"
"A-","D","A-","B-","A","A-","B-","A","A-","A-","B-","A-","B+","B+","B","TERLAMBAT"
"B-","D","C+","B-","B+","C+","C+","B-","B","B","C+","A-","C","B-","B","TERLAMBAT"
"C","B","A","B+","B","A-","B-","B+","B+","A","A","B-","A","B","C+","TERLAMBAT"
"B-","D","C","B-","B-","C+","C+","B","B","B+","B-","B-","D","B+","C","TERLAMBAT"
"B+","A","B+","A-","A","C+","A-","A","A","B","A-","B-","A-","B+","B-","SEDANG"
"B+","B-","B+","B+","A","A-","B+","A","A","A-","B","B-","A-","B+","A-","TERLAMBAT"
"B","B-","B","B+","B+","C+","B+","A-","D","D","C","B-","B+","B-","B","SEDANG"
"B","A","B","B+","A-","C+","B+","A-","C+","C+","C+","A-","B+","C+","B","TERLAMBAT"
"B+","B+","B+","B+","A-","A-","B-","B+","B+","C","B","A-","B","B","C+","TERLAMBAT"
"A","A-","A","B+","A-","A-","A-","A-","B","A","A","A-","A","A","B-","TERLAMBAT"
"B+","A-","A-","C+","C+","A-","B","C+","B","B+","B","A-","B","B","B","SEDANG"
"A","D","B+","B-","B+","C+","B+","A","B","A","B+","A-","A-","A-","B-","TERLAMBAT"
"A-","A","B+","A-","A","A-","B","B","A-","A","A","B","A","A-","C+","SEDANG"
"D","B","C","C","B+","C+","B-","C+","B","D","E","B","D","B-","B-","TERLAMBAT"
"A","B+","A-","B","A","C+","A-","B","C+","B","C","A-","B-","A-","C+","SEDANG"
"B-","B+","A-","B-","B-","C+","B-","C+","C+","C+","E","B","C","B+","B-","TERLAMBAT"
"A-","B","B-","C","B-","C+","B-","B","C+","B","B-","B-","B","A-","B","TERLAMBAT"
"A","A","B-","B","B+","A-","A-","B+","B-","B-","B-","A-","B+","A-","B-","SEDANG"
"A","B","B+","A-","B","A-","B-","A-","B","A","B","B+","B+","A-","C+","TERLAMBAT"
"A","A","A-","B-","A-","C+","B+","B","B+","A","A-","B+","B+","B+","B-","SEDANG"
"A","B+","A-","B","A","A-","B","B+","B+","A","C+","B+","A","A-","C+","TERLAMBAT"
"C+","B-","B-","C+","C+","A-","B","B+","B","A","C","B+","B+","B","B-","TERLAMBAT"
"B-","A","B","B","A","A-","B-","C","B+","B+","B-","B+","A-","B+","B-","TEPAT WAKTU"
"B-","A-","B-","B+","A","A-","C+","C+","B+","B+","A-","A-","B","A-","B+","SEDANG"
"B","A","B+","B","A","C+","C+","B","B","A","A","B-","B-","B","B-","TERLAMBAT"
"A","B","A-","A-","A","C+","A-","C+","B","A","A","A","B-","A-","B","TERLAMBAT"
"B+","A-","B-","E","C+","A-","C+","B-","B","B+","D","B+","C+","B+","B","TERLAMBAT"
"A","B+","B+","B","B-","B-","B","A","A","B+","B-","B","A","B-","B+","SEDANG"
"A","A-","A","B","A-","B-","C","A","A-","B+","B-","B","A-","B","B","SEDANG"
"D","B+","B-","C","B-","C+","A-","B","C+","B+","B-","A-","D","B","B","TERLAMBAT"
"A","C","A","A-","A-","C+","C","A","A","A","B","A-","B+","B+","C+","TERLAMBAT"
"A-","A-","A","B","A","A-","E","A-","A","A-","B+","A-","B+","B+","B","SEDANG"
"B","C","B-","B-","A-","C+","B-","B+","B+","B+","B+","A-","B","B","B-","TERLAMBAT"
"B+","B+","A-","B","A","A-","B","B","B+","A","A-","B","B+","A-","B+","TERLAMBAT"
"A-","C","A-","B","A","C+","B","A","B+","B+","B+","B","A","B","B-","TERLAMBAT"
"C+","C","B-","C","B","C+","C","B","B","B+","B-","B","B","B","B-","SEDANG"
"B+","C+","B","B-","A-","C+","B+","A-","B-","A-","A","B","B+","B+","C+","TERLAMBAT"
"B-","C+","A","B","B-","A-","C","C","B+","A","B-","B","B","B+","B","SEDANG"
"B-","B+","C+","B","D","C+","C+","C+","B-","B-","C","B","D","B+","B","TERLAMBAT"
"A","B-","B+","B","B+","B","B-","A-","B-","B","B-","A-","B+","B","B-","TERLAMBAT"
"B+","B","B-","B-","A-","B","B","A-","B+","C+","B-","B","B-","B","B-","TERLAMBAT"
"A-","C+","B+","C+","B","B+","B+","B-","B","A-","B-","B","B","B+","B","SEDANG"
"B+","B-","C+","B-","B+","B","C","A-","B+","B+","B","B-","C+","B-","D","TERLAMBAT"
"B","A-","B-","C+","C+","B-","B-","B","C+","C","B-","A-","D","C","D","TERLAMBAT"
"A-","B-","B+","B-","A-","B-","C+","B","B+","B","B-","A-","B","B","B-","TERLAMBAT"
"C","B","C+","C","B","B-","B","B-","B","A-","B","B-","B+","B","C","TERLAMBAT"
"C+","B","B","B","A-","B","B","A-","B","A-","B+","A-","B","B-","B","TERLAMBAT"
"B-","B+","B-","B-","A","A-","B-","A-","B","A-","B","A-","B-","B+","C+","TERLAMBAT"
"C+","B+","B-","B","A-","A-","B+","C+","B+","A","A","A-","B","A","C+","TERLAMBAT"
"C+","A","B-","C+","B+","C+","B-","B","B+","A","D","B","C","B-","C+","TERLAMBAT"
"A","C","B","B","B+","C+","A-","B+","A","A","B","B","A-","B+","C+","TERLAMBAT"
"B+","B+","B","B","B","C+","A-","A-","B+","A","B","B","B+","B-","B+","TERLAMBAT"
"B","D","C+","B","B-","C+","B","B+","A-","A","A","B+","B+","B","B","TERLAMBAT"
"A","A-","B","B","B+","A-","A-","B","A-","A","A-","A-","A","A-","C+","TERLAMBAT"
"A-","A","C","B","A-","C+","A-","A-","D","E","E","B","A-","B+","C","SEDANG"
"B-","B+","B","B-","B+","A-","B","A-","B+","E","B+","A","A-","A-","B","TERLAMBAT"
"B","A","C","A-","A-","C+","B+","A","C+","A-","C+","A-","B+","B","B-","TERLAMBAT"
"B+","C+","B-","B+","A-","A-","B-","A","B+","B+","B-","A-","B","B+","B-","TERLAMBAT"
"B+","B-","B-","B","A-","C+","B+","A","D","A-","B+","B","B+","B","C+","TERLAMBAT"
"A-","B","B","B","B-","C+","B-","B-","B-","B+","B-","B","B+","B+","B-","SEDANG"
"A","A","A-","B","A-","A-","B-","B","A","A","B","B","A","A-","B+","SEDANG"
"C+","A","C","B","A","C+","A-","D","D","D","C","A-","C+","B","A-","TERLAMBAT"
"B+","A-","B","B-","B","C+","A-","B","B+","A","A-","A","A-","B+","B-","TERLAMBAT"
"D","B+","C+","B-","A","B-","C+","B-","B","A","B+","A","B","B+","B+","TERLAMBAT"
"B+","B","C","B","A","C+","B+","C+","C+","D","C","A-","C+","B","A","SEDANG"
"A-","C+","B+","B","B","B-","B+","B","B+","B+","B-","A","B+","B","B-","TERLAMBAT"
"A-","B+","B","C+","B","B","A-","A-","B+","B","B-","B","B+","B","B-","TERLAMBAT"
"A","B","B+","B-","B","B-","B+","A-","B","B","B+","B+","B-","B+","A-","TERLAMBAT"
"A","A","B","B+","A-","C+","B+","B","B-","B-","C","B","B+","A-","B","SEDANG"
"A-","B+","B-","C+","B-","A-","A","B-","C+","B-","D","A","B-","B+","A-","SEDANG"
"A","C+","A-","A-","A","A-","A","B+","B+","A","B+","A-","A","A-","B-","SEDANG"
"A-","A","A-","B+","A","A-","A","A-","B+","A","A","A-","D","A-","C+","SEDANG"
"B-","A-","B+","B-","B","A-","A","C+","B+","A","A-","A","B+","B","C","SEDANG"
"B","A-","B+","B","C+","C+","B-","C+","B","A-","B","A","B+","B","B+","SEDANG"
"B+","A-","B+","B-","D","C+","A-","C+","B+","A-","A","A","B+","B+","B-","SEDANG"
"A","A","B+","B-","A","C+","B+","D","B-","B+","B+","A-","B+","B+","A-","TERLAMBAT"
"C+","B+","C","B","A","A-","B+","B-","D","D","B-","A-","B","B+","A","SEDANG"
"B+","C+","B","A-","A","C+","A-","B-","C+","B+","C","A-","A-","A-","B+","SEDANG"
"C+","A","C","B-","A","C+","B","D","B+","D","D","A","B-","A-","B+","SEDANG"
"B+","C+","B","A","A","A-","A","B-","A","B","A","A-","A-","A-","B+","SEDANG"
"B-","D","B-","C+","B+","C+","B-","C","C+","B+","B","B-","B+","B+","A-","TERLAMBAT"
"A-","B","A-","B+","B+","C+","B","B-","C+","B+","A","A-","A","B","B","TERLAMBAT"
"B+","B-","B","A-","C","C+","C","B+","B","A-","C","A-","B","B+","C","SEDANG"
"A","A-","B","B+","A","A-","B","B","B+","A-","B+","A-","A-","A-","A-","SEDANG"
"B+","A","B+","B","A-","A-","A-","B+","B+","A-","B+","A-","B+","A-","B+","SEDANG"
"B","B-","B+","B","B+","A-","B+","B","C+","B+","B","A-","B","B+","B+","SEDANG"
"A-","A-","B","B-","B+","B-","B","B-","B+","B","B-","A-","C+","B+","A-","TERLAMBAT"
"C+","A","C+","B-","A-","B","B","C","B-","B-","B-","A","B-","B+","B+","TERLAMBAT"
"C+","B+","C","B-","B+","B","C","B-","B","A-","B","A-","B-","C+","B-","TERLAMBAT"
"E","B-","C","C","B+","B-","D","B-","B+","A-","B-","B+","C","B-","A","TERLAMBAT"
"A","B-","B+","B+","A","C+","B+","A","B-","A-","B-","B+","A","B+","D","TERLAMBAT"
"A-","B","B+","B+","A-","A-","B","A","A-","A-","A","B+","B","B+","A-","SEDANG"
"A","B+","B+","B","B+","A-","B+","A-","B+","A","A-","B+","B","B+","A-","TERLAMBAT"
"A-","B+","B-","B+","A-","A-","A-","A","C+","A-","C+","A-","B","B+","A-","TERLAMBAT"
"C+","B","C","B","A","C+","B+","D","D","D","C+","B+","B-","B","B-","TERLAMBAT"
"B","B","C","A-","A","C+","B+","B-","D","B","C+","B","B+","B+","A-","TERLAMBAT"
"B+","A","C+","C","B+","A-","B-","C","C+","B-","A-","B+","B","B","B","TERLAMBAT"
"A-","C","B-","C","B","A-","B","D","C+","B-","B-","A-","B-","B","B","SEDANG"
"B+","A","B+","C+","B","C+","A-","B+","B","A","A","A-","B","A-","B-","SEDANG"
"A","B","B-","B","A-","C+","B","B-","A-","A","A","B-","A","B+","B+","SEDANG"
"B-","C+","B-","B","D","C+","C","C+","C+","A","D","A","B","B","B+","TERLAMBAT"
"A","B-","A-","B","B","C+","A-","C+","C","B+","C","A-","A-","B","A-","SEDANG"
"A-","C+","A","A","A","A-","A","A-","A-","A","B","A-","A","A-","B-","TERLAMBAT"
"B+","A","C","A-","B+","A-","A-","A","C+","A-","C","A-","A-","B+","B","TERLAMBAT"
"B","A","B","B+","B+","A-","B-","B-","B+","B+","B","B+","B+","A-","D","TERLAMBAT"
"B+","B","B+","B-","B-","A-","C","B-","B","B","A","C","B+","B+","A","TERLAMBAT"
"C+","A","C","B-","B-","B-","A","C+","B-","A-","B-","C","B-","B-","A","TERLAMBAT"
"B-","B+","B+","B","A-","A-","B","C+","B-","A","C+","B","B-","B+","B+","SEDANG"
"A","B+","B","A-","A","A-","B+","A","A","B","A-","B+","B","A","B","SEDANG"
"A","B+","A-","B+","A","A-","A","A","A-","B","B","B+","A","A-","B+","SEDANG"
"A-","B+","A-","A","A","A-","B+","A","A-","A","A","B+","A","A-","B+","SEDANG"
"B-","B+","B","A-","A","A-","B-","A","A-","B","A","B+","A","A-","B+","SEDANG"
"A-","B+","C+","A-","A","A-","A","A","A-","C","A-","B+","B+","A","B+","SEDANG"
"D","B+","B-","B","A","B","A-","C","B+","A","C+","B+","C","A-","B+","SEDANG"
"B","B+","C+","B+","A-","B-","B","C+","C+","A","B-","B+","C+","B+","B+","SEDANG"
"C","B+","B+","C+","B","A-","A-","C+","A","B+","C+","B+","B","A-","B+","SEDANG"
"B-","B+","A-","B","A-","A-","B","A","A-","B+","A","B+","B+","A-","B+","SEDANG"
"A","B+","A-","B+","B","A-","B+","A","A-","C+","A-","B+","A-","A","B+","SEDANG"
"A-","B+","B","C","A","B+","A-","C+","B-","B","D","B+","B","A-","B+","SEDANG"
"A-","B+","B","B-","B+","A","C+","C","A-","B+","A-","B+","B-","A-","B+","SEDANG"
"A","B+","B","A","A-","A-","B+","A","A-","A-","A","B+","A-","A","B+","SEDANG"
"B","B+","C+","A-","B+","A-","A","A","A-","B+","B+","B+","B","B+","B+","SEDANG"
"A","B+","A","B","A","A","B+","C+","A","A","B-","B+","B+","B+","B+","SEDANG"
"A","B+","A-","A","A","B+","A-","B+","C+","A","B+","B+","B+","A","B+","SEDANG"
"B+","B+","B+","C+","A","B+","B","B-","C","B+","A-","B+","B-","B","B+","SEDANG"
"A-","B+","C","B+","C+","A-","B+","A","A-","A","B+","B+","B","A","B+","SEDANG"
"A-","B+","B","A","A-","A-","A-","A","A-","A","B+","B+","B","A","B+","SEDANG"
"C","B+","A-","B","A","B-","A-","B-","C+","B+","B-","B+","B-","A-","B+","SEDANG"
"A-","B+","B","B+","B+","B+","A","C+","B+","A-","B","B+","B","A","B+","SEDANG"
"A","B+","A-","B","A","A","B","B","A-","A-","C+","B+","B","A-","B+","SEDANG"
"A-","B+","B-","A-","B","A-","A-","A-","A-","A","A","B+","B+","B+","B+","SEDANG"
"A-","B+","B","B+","A","B+","A","C","B-","E","B+","B+","B+","A","B+","SEDANG"
"A","B+","A-","A-","A-","A-","A","A","A-","B+","A-","B+","A","A-","B+","TERLAMBAT"
"B","B+","C","A","B","A-","A-","B+","A-","A-","B+","B+","B-","B+","B+","SEDANG"
"A","B+","B+","A","B+","A-","A","A","A-","B+","A","B+","A-","A-","B+","SEDANG"
"A","B+","A","A-","A","B+","A","A-","A","A","A","B+","A","A","B+","SEDANG"
"B","B+","C+","B+","B+","B+","B+","C+","B+","D","E","B+","B","A-","B+","SEDANG"
"B-","B+","B","B","A","A-","A-","C+","B","A","C","B+","B+","B+","B+","TERLAMBAT"
"C","B+","B","B-","A","B","B+","C+","C+","B+","C+","B+","B+","B+","B+","TERLAMBAT"
"A","B+","B+","B+","A","A","A","B","A-","A-","C+","B+","A-","B+","B+","SEDANG"
"A","B+","A-","A","A","A-","A-","A","A-","A-","A-","B+","B+","A-","B+","SEDANG"
"A","B+","A-","B","A","A","A-","B","B","A","C","B+","A","B+","B+","SEDANG"
"B","B+","B+","B","A","A-","A-","C+","C+","A-","C","B+","B+","B+","B+","SEDANG"
"B-","B+","B","B-","A","B+","A-","C+","A-","A-","B-","B+","B-","B+","B+","TERLAMBAT"
"A","B+","B","A","A","A-","B+","A","A-","C+","A","B+","A-","A-","B+","SEDANG"
"B+","B+","C+","B-","B+","B+","A","B-","B+","A-","B","B+","B","A-","B+","TERLAMBAT"
"A-","B+","A-","B+","A","A","A-","C+","A","A","B-","B+","A-","B+","B+","SEDANG"
"A","B+","C","A-","A-","A-","B+","A-","A-","B","B+","B+","B","A-","B+","TERLAMBAT"
"A-","B+","A-","A","A","A-","A","A","A","A-","A","B+","A-","A-","B+","SEDANG"
"A","B+","C+","B+","A-","B","A-","B","B+","A","A","B+","B","A-","B+","SEDANG"
"A-","B+","B","B+","A","B+","A","B","B+","A-","B+","B+","A","A","B+","TERLAMBAT"
"A","B+","B-","A-","A","E","C+","B-","A","B+","A","B+","B-","A-","B+","TEPAT WAKTU"
"A-","B+","A-","B+","A-","B","A-","B","A","A-","B+","B+","A-","A-","B+","TEPAT WAKTU"
"A-","B+","B","B-","A-","C+","A","B-","D","B-","B+","B+","A-","B+","B+","TEPAT WAKTU"
"B+","B+","A","A-","A","B","A","A-","B+","A","B+","B+","A","A","B+","SEDANG"
